#  r/R             c            rho               A1          A2            A3         A4            A5
  1.000857E+00  7.120118E+05  1.254561E-09  9.974322E-01  3.758253E+03  1.651011E+00  2.463308E+03  2.679006E-09
  1.000856E+00  7.120208E+05  1.267521E-09  9.974371E-01  3.758164E+03  1.651103E+00  2.463416E+03  2.706667E-09
  1.000854E+00  7.120297E+05  1.280601E-09  9.974420E-01  3.758076E+03  1.651194E+00  2.463523E+03  2.734586E-09
  1.000852E+00  7.120384E+05  1.293803E-09  9.974470E-01  3.757990E+03  1.651283E+00  2.463631E+03  2.762764E-09
  1.000851E+00  7.120470E+05  1.307129E-09  9.974519E-01  3.757906E+03  1.651372E+00  2.463737E+03  2.791205E-09
  1.000849E+00  7.120555E+05  1.320578E-09  9.974568E-01  3.757823E+03  1.651459E+00  2.463843E+03  2.819910E-09
  1.000848E+00  7.120637E+05  1.334153E-09  9.974617E-01  3.757742E+03  1.651544E+00  2.463949E+03  2.848883E-09
  1.000846E+00  7.120717E+05  1.347854E-09  9.974666E-01  3.757664E+03  1.651628E+00  2.464053E+03  2.878125E-09
  1.000844E+00  7.120794E+05  1.361682E-09  9.974715E-01  3.757589E+03  1.651710E+00  2.464154E+03  2.907639E-09
  1.000843E+00  7.120868E+05  1.375639E-09  9.974764E-01  3.757517E+03  1.651791E+00  2.464253E+03  2.937428E-09
  1.000841E+00  7.120939E+05  1.389726E-09  9.974813E-01  3.757448E+03  1.651869E+00  2.464349E+03  2.967493E-09
  1.000839E+00  7.121008E+05  1.403944E-09  9.974862E-01  3.757381E+03  1.651946E+00  2.464443E+03  2.997838E-09
  1.000838E+00  7.121074E+05  1.418294E-09  9.974911E-01  3.757317E+03  1.652021E+00  2.464535E+03  3.028465E-09
  1.000836E+00  7.121138E+05  1.432778E-09  9.974960E-01  3.757256E+03  1.652094E+00  2.464624E+03  3.059377E-09
  1.000834E+00  7.121199E+05  1.447396E-09  9.975009E-01  3.757198E+03  1.652166E+00  2.464712E+03  3.090576E-09
  1.000833E+00  7.121258E+05  1.462150E-09  9.975057E-01  3.757142E+03  1.652236E+00  2.464797E+03  3.122064E-09
  1.000831E+00  7.121315E+05  1.477041E-09  9.975106E-01  3.757088E+03  1.652305E+00  2.464880E+03  3.153845E-09
  1.000830E+00  7.121370E+05  1.492070E-09  9.975155E-01  3.757036E+03  1.652372E+00  2.464961E+03  3.185921E-09
  1.000828E+00  7.121422E+05  1.507239E-09  9.975203E-01  3.756987E+03  1.652437E+00  2.465041E+03  3.218295E-09
  1.000826E+00  7.121473E+05  1.522549E-09  9.975252E-01  3.756939E+03  1.652502E+00  2.465119E+03  3.250969E-09
  1.000825E+00  7.121522E+05  1.538001E-09  9.975300E-01  3.756893E+03  1.652565E+00  2.465195E+03  3.283946E-09
  1.000823E+00  7.121570E+05  1.553597E-09  9.975349E-01  3.756849E+03  1.652627E+00  2.465270E+03  3.317229E-09
  1.000821E+00  7.121616E+05  1.569337E-09  9.975397E-01  3.756807E+03  1.652688E+00  2.465344E+03  3.350821E-09
  1.000820E+00  7.121661E+05  1.585223E-09  9.975446E-01  3.756765E+03  1.652748E+00  2.465417E+03  3.384725E-09
  1.000818E+00  7.121705E+05  1.601257E-09  9.975494E-01  3.756725E+03  1.652807E+00  2.465489E+03  3.418943E-09
  1.000817E+00  7.121748E+05  1.617439E-09  9.975542E-01  3.756685E+03  1.652865E+00  2.465560E+03  3.453478E-09
  1.000815E+00  7.121791E+05  1.633771E-09  9.975591E-01  3.756647E+03  1.652922E+00  2.465631E+03  3.488333E-09
  1.000813E+00  7.121833E+05  1.650255E-09  9.975639E-01  3.756608E+03  1.652979E+00  2.465702E+03  3.523512E-09
  1.000812E+00  7.121875E+05  1.666892E-09  9.975687E-01  3.756570E+03  1.653035E+00  2.465772E+03  3.559016E-09
  1.000810E+00  7.121917E+05  1.683683E-09  9.975735E-01  3.756532E+03  1.653091E+00  2.465843E+03  3.594849E-09
